location,route,direction,distance,level,year,month,week,day_night,hour,weather,age,gender,cause_L,cause_S,pattern,pave,dir_curv,slope,surface_condition,pavment_condition,car_type,car_standard,최초사고지점_도로시설,지점명,dead,injury,acc_cars,defeat,state,arrive_time,ambulance_arrive_time,people_rescue_time,towtruck_arrive_time,rescue_time,block_time,handling_time,damage,danger_point
시흥지사,서울외곽순환,일산,21.2,C,2005,1,일요일,주간,11,맑음,20,여자,운전자과실,주시태만,차-시설,콘크리트,직선,평탄,건조,양호,승용(자가),,램프,조남분기점,0,1,1,1,2,5,0,0,0,0,15,30,1230080,100
인천지사,서울외곽순환,일산,45.5,C,2005,1,일요일,주간,6,맑음,0,남자,운전자과실,주시태만,차-시설,아스팔트,직선,평탄,건조,양호,승용(자가),,본선,본선,0,0,1,1,2,5,0,0,0,0,10,20,1500000,70
시흥지사,서울외곽순환,일산,33.4,C,2005,1,일요일,주간,8,맑음,30,여자,운전자과실,주시태만,차-시설,콘크리트,직선,평탄,건조,양호,승용(자가),,램프,시흥IC,0,0,1,1,2,2,0,0,0,0,0,20,1421990,70
시흥지사,서울외곽순환,일산,22.5,C,2005,3,목요일,야간,3,맑음,40,남자,운전자과실,음주,차-시설,콘크리트,우커브 500 이상,오르막 3% 미만,건조,양호,승용(자가),,본선,본선,0,1,1,1,2,10,0,0,0,0,0,15,1016100,100
인천지사,서울외곽순환,일산,34.6,B,2005,3,일요일,야간,22,맑음,40,남자,운전자과실,졸음,단독,아스팔트,직선,평탄,건조,양호,화물(소형),,터널,소래터널 초입부,1,0,1,2,2,13,0,0,0,0,66,66,1330000,185
동서울지사,서울외곽순환,일산,5,C,2005,3,월요일,야간,23,맑음,30,남자,운전자과실,음주,단독,콘크리트,직선,평탄,건조,양호,승용(자가),,본선,본선,0,0,1,1,2,20,0,0,0,0,5,30,359900,70
동서울지사,서울외곽순환,일산,9,C,2005,3,수요일,주간,7,맑음,20,남자,운전자과실,졸음,차-시설,아스팔트,직선,오르막 3% 미만,건조,양호,특수차량,,본선,본선,0,0,1,1,2,2,0,0,0,0,60,60,9863200,70
동서울지사,서울외곽순환,일산,6.6,C,2005,3,목요일,주간,8,흐림,40,남자,운전자과실,주시태만,차-시설,콘크리트,직선,평탄,건조,양호,승합(대형),,본선,본선,0,0,3,5,4,15,0,0,0,0,0,45,4456000,210
인천지사,서울외곽순환,일산,37.5,C,2005,3,수요일,주간,12,흐림,30,남자,기타,노면잡물,기타,아스팔트,좌커브 500 이상,내리막 3% 미만,건조,양호,승용(JEEP),,본선,본선,0,0,2,3,2,15,0,0,0,0,20,85,0,125
인천지사,서울외곽순환,일산,34.6,C,2005,3,목요일,야간,4,비,40,남자,운전자과실,졸음,단독,아스팔트,직선,오르막 3% 미만,습기,양호,승합(소형),,터널,소래터널,0,0,1,2,2,30,0,0,0,0,30,65,3405000,85
