location,route,year,month,hour,distance,direction,지점명,level,cause_L,cause_S,dead,injury,acc_cars,week,weather,day_night,pattern,pave,dir_curv,slope,surface_condition,pavment_condition,car_type,car_standard,gender,age,defeat,arrive_time,ambulance_arrive_time,people_rescue_time,towtruck_arrive_time,rescue_time,block_time,handling_time,state,damage,최초사고지점_도로시설
시흥지사,서울외곽순환,2005,1,11,21.2,일산,조남분기점,C,운전자과실,주시태만,0,1,1,일요일,맑음,주간,차-시설,콘크리트,직선,평탄,건조,양호,승용(자가),,여자,20~30,1,5,0,0,0,0,15,30,2,1230080,램프
인천지사,서울외곽순환,2005,1,6,45.5,일산,본선,C,운전자과실,주시태만,0,0,1,일요일,맑음,주간,차-시설,아스팔트,직선,평탄,건조,양호,승용(자가),,남자,,1,5,0,0,0,0,10,20,2,1500000,본선
시흥지사,서울외곽순환,2005,1,8,33.4,일산,시흥IC,C,운전자과실,주시태만,0,0,1,일요일,맑음,주간,차-시설,콘크리트,직선,평탄,건조,양호,승용(자가),,여자,30~40,1,2,0,0,0,0,0,20,2,1421990,램프
시흥지사,서울외곽순환,2005,3,3,22.5,일산,본선,C,운전자과실,음주,0,1,1,목요일,맑음,야간,차-시설,콘크리트,우커브 500 이상,오르막 3% 미만,건조,양호,승용(자가),,남자,40~50,1,10,0,0,0,0,0,15,2,1016100,본선
인천지사,서울외곽순환,2005,3,22,34.6,일산,소래터널 초입부,B,운전자과실,졸음,1,0,1,일요일,맑음,야간,단독,아스팔트,직선,평탄,건조,양호,화물(소형),,남자,40~50,2,13,0,0,0,0,66,66,2,1330000,터널
동서울지사,서울외곽순환,2005,3,23,5,일산,본선,C,운전자과실,음주,0,0,1,월요일,맑음,야간,단독,콘크리트,직선,평탄,건조,양호,승용(자가),,남자,30~40,1,20,0,0,0,0,5,30,2,359900,본선
동서울지사,서울외곽순환,2005,3,7,9,일산,본선,C,운전자과실,졸음,0,0,1,수요일,맑음,주간,차-시설,아스팔트,직선,오르막 3% 미만,건조,양호,특수차량,,남자,20~30,1,2,0,0,0,0,60,60,2,9863200,본선
동서울지사,서울외곽순환,2005,3,8,6.6,일산,본선,C,운전자과실,주시태만,0,0,3,목요일,흐림,주간,차-시설,콘크리트,직선,평탄,건조,양호,승합(대형),,남자,40~50,5,15,0,0,0,0,0,45,4,4456000,본선
인천지사,서울외곽순환,2005,3,12,37.5,일산,본선,C,기타,노면잡물,0,0,2,수요일,흐림,주간,기타,아스팔트,좌커브 500 이상,내리막 3% 미만,건조,양호,승용(JEEP),,남자,30~40,3,15,0,0,0,0,20,85,2,0,본선
인천지사,서울외곽순환,2005,3,4,34.6,일산,소래터널,C,운전자과실,졸음,0,0,1,목요일,비,야간,단독,아스팔트,직선,오르막 3% 미만,습기,양호,승합(소형),,남자,40~50,2,30,0,0,0,0,30,65,2,3405000,터널
